Participant_ID,Triad_Or_Individual,School,Team,School_Team,A_B_C,Computer_Sat_At,Block,Date,Face_Video_Offset_From_900_Seconds ,Audio_Quality,Screen_Video_Offset_From_900_Seconds ,Number_Of_Screen_Shots_Offset_From_29,Shimmer_Quality,Gaze_Calibration_Quality,Face_Offset_OK,Audio_Quality_ABC,Shimmer_Quality_ABC,Gaze_Calibration_Quality_ABC,Team_Data_Check_Complete_Y/N,Notes
CPS2-ASU-T38-PA,Triad,ASU,T38,ASU-T38,PA,A,ExpBlock1,9-13-18 @ 15:00,-1,A,-1,NaN,A,C,1,1,1,1,,Loud breather
CPS2-ASU-T38-PA,Triad,ASU,T38,ASU-T38,PA,A,ExpBlock2,9-13-18 @ 15:00,-1,A,-1,NaN,A,C,1,1,1,1,,
CPS2-ASU-T38-PA,Triad,ASU,T38,ASU-T38,PA,A,Transfer,9-13-18 @ 15:00,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,Issue with Run (see exp log) no Transfer data collected
CPS2-ASU-T38-PA,Triad,ASU,T38,ASU-T38,PA,A,WU,9-13-18 @ 15:00,-1,B,NaN,0,A,C,1,1,1,1,,"Loud breathing during some parts, can hear other participant in some parts as well."
CPS2-ASU-T38-PB,Triad,ASU,T38,ASU-T38,PB,B,ExpBlock1,9-13-18 @ 15:00,-1,A,NaN,0,NaN,C,1,1,0,1,,
CPS2-ASU-T38-PB,Triad,ASU,T38,ASU-T38,PB,B,ExpBlock2,9-13-18 @ 15:00,-1,A,-1,NaN,NaN,B,1,1,0,1,,
CPS2-ASU-T38-PB,Triad,ASU,T38,ASU-T38,PB,B,Transfer,9-13-18 @ 15:00,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,Issue with Run (see exp log) no Transfer data collected
CPS2-ASU-T38-PB,Triad,ASU,T38,ASU-T38,PB,B,WU,9-13-18 @ 15:00,-1,A,-1,NaN,NaN,C,1,1,0,1,,"Shimmer didn't record on computer B, experimenter error from myself and RAs. -AM"
CPS2-ASU-T38-PC,Triad,ASU,T38,ASU-T38,PC,C,ExpBlock1,9-13-18 @ 15:00,-1,A,-1,NaN,B,C,1,1,1,1,,
CPS2-ASU-T38-PC,Triad,ASU,T38,ASU-T38,PC,C,ExpBlock2,9-13-18 @ 15:00,0,A,NaN,0,C,B,1,1,1,1,,
CPS2-ASU-T38-PC,Triad,ASU,T38,ASU-T38,PC,C,Transfer,9-13-18 @ 15:00,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,Issue with Run (see exp log) no Transfer data collected
CPS2-ASU-T38-PC,Triad,ASU,T38,ASU-T38,PC,C,WU,9-13-18 @ 15:00,-1,A,-1,NaN,B,C,1,1,1,1,,
CPS2-ASU-T39-PB,Triad,ASU,T39,ASU-T39,PB,B,ExpBlock1,9-18-18 @ 12:00,-1,C,NaN,0,A,C,1,1,1,1,,"Sounds like audio issue from Computer A in T35/36, I can hear other participants pretty clearly all the way through."
CPS2-ASU-T39-PB,Triad,ASU,T39,ASU-T39,PB,B,ExpBlock2,9-18-18 @ 12:00,-1,C,-1,NaN,A,C,1,1,1,1,,
CPS2-ASU-T39-PB,Triad,ASU,T39,ASU-T39,PB,B,Transfer,9-18-18 @ 12:00,-1,B,-1,NaN,A,C,1,1,1,1,,
CPS2-ASU-T39-PB,Triad,ASU,T39,ASU-T39,PB,B,WU,9-18-18 @ 12:00,-1,B,-1,NaN,A,F,1,1,1,0,,"I can hear other participants in the background, from the room not the mic; Calibration might be a C"
CPS2-ASU-T39-PC,Triad,ASU,T39,ASU-T39,PC,C,ExpBlock1,9-18-18 @ 12:00,-1,A,-1,NaN,A,B,1,1,1,1,,
CPS2-ASU-T39-PC,Triad,ASU,T39,ASU-T39,PC,C,ExpBlock2,9-18-18 @ 12:00,-1,A,NaN,0,B,F,1,1,1,0,,
CPS2-ASU-T39-PC,Triad,ASU,T39,ASU-T39,PC,C,Transfer,9-18-18 @ 12:00,-1,A,-1,NaN,B,C,1,1,1,1,,
CPS2-ASU-T39-PC,Triad,ASU,T39,ASU-T39,PC,C,WU,9-18-18 @ 12:00,-1,B,-1,NaN,A,B,1,1,1,1,,"I can hear other participants in the background, from the room not the mic"
CPS2-ASU-T39-PD,Triad,ASU,T39,ASU-T39,PD,A,ExpBlock1,9-18-18 @ 12:00,-1,B,-1,NaN,A,C,1,1,1,1,,"I can hear other participants in the background, from the room"
